Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22PEAr3vhiX2,Trex Rain Escapes Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,,,"All Labor and Materials for install, including joist taping, caulking, Aluminum gutter, downspout and soffit in white.",,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,22Ns2raCYjQ3,Material | Siding | Downspout | 12x16x10,Model #0023,12,,Each,42.49,,60.7,,0800 Siding,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,22Ns2raF9X7s,Trex 16 ft.  Plastic Trough,Model #0078,7,,Each,48.49,,69.27142857142857,,0000 Uncategorized,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,22Ns2raHQGbs,Material | Decking | Trex,Model #0082,2,,Each,63.75,,91.07,,2500 Decking,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,22Ns2raKZL4d,Material | Plumbing | Deck Drainage System Wall Flash,Model #46,1,,Each,43.9,,62.71,,1100 Plumbing,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,22Ns2raMzahi,Material | Framing | Trex Ledger Tape,Model #TS 0043,1,,Each,130.55,,186.5,,0600 Framing,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,22NmAGnHnp9N,Material | Miscellaneous | Aluminum Soffit in White,"100 sq ft, 6' x 14' deck dont know what you have but maybe vinyl and T and G options?",7,,Each,33.29,,47.56,,3100 Miscellaneous,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,22Ns2raQQcsT,Material | Siding | Aluminum Gutter and Downspout,,1,,Each,50,,71.43,,0800 Siding,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,22NmAGnMU82r,Material | Framing | Caulking,,4,,Each,11.19,,15.99,,0600 Framing,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Trex Rain Escapes Package,Overbrook Deck Template; Customer Selections; Trex Rain Escapes Drainage System,22NnDY6TWvfj,"Labor | Decking | Reframe, Flash, Waterproof Deck. Install Trex Rainescapes Drainage System",,9,,Hours,50,,83.33,,2500 Decking,Labor,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
